SCHEME START,SCHEME END,PRODUCT,DAYS  OF DISCOUNT,DISCOUNT (%),PROD A,PROD B,PROD C,PROD D,PROD E,AHMEDABAD,AMBALA,BANGALORE,CHANDIGARH,CHENNAI,DEHRADUN,DELHI,GHAZIABAD,HYDERABAD,KANPUR,KOCHI,KOLKATA,MUMBAI,PARWANOO,ZIRAKHPUR
17-11-2004,23-11-2004,PROD D,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-11-2004,20-11-2004,PROD A,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-11-2004,31-12-2004,PROD B,36,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25-11-2004,31-12-2004,PROD B,36,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-11-2004,31-12-2004,PROD A,31,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-11-2004,31-12-2004,PROD A,31,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-12-2004,31-12-2004,PROD A,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-12-2004,31-12-2004,PROD A,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-12-2004,31-01-2005,PROD D,42,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-12-2004,01-05-2005,PROD A,126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-12-2004,01-05-2005,PROD A,126,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
26-12-2004,01-05-2005,PROD A,126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-12-2004,31-01-2005,PROD A,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26-12-2004,01-05-2005,PROD A,126,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-12-2004,31-12-2004,PROD A,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01-2005,31-01-2005,PROD E,30,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01-01-2005,31-01-2005,PROD D,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01-2005,31-01-2005,PROD E,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-01-2005,28-02-2005,PROD E,57,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
04-01-2005,30-06-2005,PROD E,177,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
